Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kabupaten Bogor,1699,1699,100.0,1699,100.0,119461,108524,227985,7504,6.3,7322,6.7,14826,6.5,3212,2766,5978,423,13.2,312,11.3,735,12.3,2022
Kabupaten Sukabumi,3137,659,21.0,2855,91.0,93415,89119,182534,54479,58.3,48836,54.8,103315,56.6,18213,18213,36426,8061,44.3,8279,45.5,16340,44.9,2022
Kabupaten Cianjur,1240,25,2.0,124,10.0,129865,121577,251442,1120,0.9,1360,1.1,2480,1.0,400,365,765,380,95.0,320,87.7,700,91.5,2022
Kabupaten Bandung,1601,1097,68.5,1458,91.1,202013,191490,393503,26185,13.0,25337,13.2,51522,13.1,8193,8127,16320,1402,17.1,1422,17.5,2824,17.3,2022
Kabupaten Garut,2270,467,20.6,1461,64.4,150200,184201,334401,31258,20.8,46887,25.5,78145,23.4,12673,19011,31684,2654,20.9,3982,20.9,6636,20.9,2022
Kabupaten Tasikmalaya,2736,135,4.9,1866,68.2,52605,13920,66525,2005,3.8,1250,9.0,3255,4.9,947,895,1842,687,72.5,563,62.9,1250,67.9,2022
Kabupaten Ciamis,621,342,55.1,564,90.8,46163,69243,115406,24151,52.3,36226,52.3,60377,52.3,7146,10722,17868,2718,38.0,4077,38.0,6795,38.0,2022
Kabupaten Kuningan,657,282,42.9,634,96.5,34188,32660,66848,26412,77.3,25305,77.5,51717,77.4,6874,6863,13737,2493,36.3,2682,39.1,5175,37.7,2022
Kabupaten Cirebon,1093,1033,94.5,1047,95.8,65883,58393,124276,22332,33.9,42298,72.4,64630,52.0,11533,11489,23022,5657,49.1,5682,49.5,11339,49.3,2022
Kabupaten Majalengka,762,580,76.1,752,98.7,40907,39429,80336,25157,61.5,25262,64.1,50419,62.8,4937,5015,9952,3081,62.4,3296,65.7,6377,64.1,2022
Kabupaten Sumedang,554,218,39.4,1148,526.6,37727,39390,77117,20100,53.3,19494,49.5,28154,36.5,5280,5408,10688,3005,56.9,2913,53.9,5918,55.4,2022
Kabupaten Indramayu,586,30,5.1,573,97.8,74502,75678,150180,1870,2.5,1960,2.6,3830,0.03,5844,6209,12053,241,4.1,295,4.8,536,4.4,2022
Kabupaten Subang,926,354,38.2,539,58.2,36410,35323,71733,14466,39.7,16771,47.5,31237,43.5,6101,6537,12638,2663,43.6,3031,46.4,5694,45.1,2022
Kabupaten Purwakarta,470,463,98.5,463,98.5,50112,49042,99154,28419,56.7,28100,57.3,56519,57.0,10553,10668,21221,7690,72.9,8420,78.9,16110,75.9,2022
Kabupaten Karawang,1059,387,36.5,752,71.0,142914,133102,276016,47862,33.5,46798,35.2,94660,34.3,14573,16057,30630,9178,63.0,9711,60.5,18889,61.7,2022
Kabupaten Bekasi,1197,461,38.5,1126,94.1,118973,126679,245652,43748,36.8,42685,33.7,86433,35.2,18937,18189,37126,9635,50.9,8534,46.9,18169,48.9,2022
Kabupaten Bandung Barat,3122,130,4.2,2268,72.6,38410,37706,76116,25318,65.9,23768,63.0,49086,64.5,7309,6763,14072,1062,14.5,1062,15.7,2124,15.1,2022
Kabupaten Pangandaran,364,172,47.3,355,97.5,16046,16046,32092,12159,75.8,13286,82.8,25445,79.3,4849,4643,9492,1278,26.4,1480,31.9,2758,29.1,2022
Kota Bogor,347,223,64.3,348,100.3,32764,30995,63759,20987,64.1,1743,5.6,22730,35.6,6643,6273,12916,4007,60.3,4375,69.7,8382,64.9,2022
Kota Sukabumi,150,119,79.3,140,93.3,18938,17504,36442,12727,67.2,11955,68.3,24682,67.7,7177,6900,14077,726,10.1,889,12.9,1615,11.5,2022
Kota Bandung,462,112,24.2,2337,505.8,78734,73900,152634,57156,72.6,56733,76.8,113889,74.6,21021,21581,42602,7818,37.2,9895,45.9,17713,41.6,2022
Kota Cirebon,182,75,41.2,180,98.9,19727,18830,38557,5130,26.0,5268,28.0,10398,27.0,2242,2195,4437,1307,58.3,1433,65.3,2740,61.8,2022
Kota Bekasi,789,96,12.2,96,12.2,161292,152491,313783,41280,25.6,39030,25.6,80310,25.6,17492,16584,34076,3208,18.3,3655,22.0,6863,20.1,2022
Kota Depok,615,133,21.6,609,99.0,97473,91354,188827,85523,87.7,80871,88.5,166394,88.1,24978,21940,46918,9906,39.7,9417,42.9,19323,41.2,2022
Kota Cimahi,140,140,100.0,131,93.6,27674,26299,53973,22432,81.1,21486,81.7,43918,81.4,10808,11456,22264,2355,21.8,2767,24.2,5122,23.0,2022
Kota Tasikmalaya,284,196,69.0,284,100.0,33444,32669,66113,25760,77.0,24718,75.7,50478,76.4,12640,12588,25228,11230,88.8,11199,89.0,22429,88.9,2022
Kota Banjar,94,94,100.0,94,100.0,90477,106565,197042,1030,1.1,1036,1.0,2066,1.0,3910,3760,7670,1169,29.9,1306,34.7,2475,32.3,2022
Jawa Barat,26603,9504,35.7,22755,85.5,1919840,1865564,3785404,0,33.8,676291,35.0,1342761,35.8,250575,257457,508032,102865,40.5,109691,42.3,212556,41.4,2022
