id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,7436,ORANG,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9322,ORANG,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7863,ORANG,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,3757,ORANG,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,2069,ORANG,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,8121,ORANG,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,2411,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,11737,ORANG,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,5241,ORANG,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,3269,ORANG,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5373,ORANG,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,962,ORANG,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,34020,ORANG,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14106,ORANG,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11680,ORANG,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29581,ORANG,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,13523,ORANG,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18952,ORANG,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7688,ORANG,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5298,ORANG,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,21733,ORANG,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4381,ORANG,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8870,ORANG,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11166,ORANG,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,4283,ORANG,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8051,ORANG,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3982,ORANG,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,9373,ORANG,2020
