Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Jawa Barat,40367,16080,39.83,23333,57.8,1845708,1237771,3202901,497323,26.94,487843,39.41,1101621,34.39,199456,198612,433207,101059,50.67,109305,55.03,224976,51.93,2018
Kabupaten Bogor,1954,1954,100.0,1699,86.9,115976,133161,249137,17540,15.0,17640,13.2,35180,14.1,3963,3796,7759,3963,100.0,3796,100.0,7759,100.0,2019
Kabupaten Sukabumi,1525,293,19.2,240,15.7,0,0,131176,0,0.0,0,0.0,22849,17.4,0,0,280,0,0.0,0,0.0,50,17.9,2019
Kabupaten Cianjur,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Bandung,1726,950,55.0,1567,90.8,222417,151055,373472,181148,81.4,120518,79.8,301666,80.8,46268,49179,95447,15085,32.6,16241,33.0,31326,32.8,2019
Kabupaten Garut,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Tasikmalaya,6468,3323,51.4,8624,133.3,4228,5011,9239,32096,759.1,31293,624.5,63389,0.0,9192,9556,18748,3206,34.9,3577,37.4,6783,36.2,2019
Kabupaten Ciamis,882,882,100.0,882,100.0,20027,18741,38768,9679,48.3,8945,47.7,18624,48.0,4947,3770,8717,2828,57.2,2536,67.3,5364,61.5,2019
Kabupaten Kuningan,697,330,47.3,557,79.9,48260,44887,93147,30652,63.5,28617,63.8,59269,63.6,9327,9121,18448,5791,62.1,5787,63.4,11578,62.8,2019
Kabupaten Cirebon,1060,345,32.5,1060,100.0,0,0,0,67116,0.0,67884,0.0,135000,0.0,19309,19496,38805,8049,41.7,8718,44.7,16767,43.2,2019
Kabupaten Majalengka,713,574,80.5,713,67.3,0,0,116,0,0.0,0,0.0,52662,0.0,899,0,14810,0,0.0,0,0.0,10277,69.4,2019
Kabupaten Sumedang,670,447,66.7,547,81.6,39019,35632,74651,16403,42.0,16099,45.2,32781,43.9,5673,5835,11533,3539,62.4,3760,64.4,7349,63.7,2019
Kabupaten Indramayu,2615,1223,46.8,18290,699.4,0,0,606,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Subang,4451,910,20.4,1808,40.6,157859,152119,309978,27633,17.5,29115,19.1,56748,18.3,7326,7617,14943,3759,51.3,3788,49.7,7547,50.5,2019
Kabupaten Purwakarta,477,381,79.9,449,94.1,45970,41894,87864,26631,57.9,28620,68.3,55251,62.9,9612,8982,18594,6605,68.7,6535,72.8,13140,70.7,2019
Kabupaten Karawang,742,414,55.8,742,100.0,80183,75724,155907,28690,35.8,28048,37.0,56738,36.4,12118,11857,23975,7001,57.8,7076,59.7,14077,58.7,2019
Kabupaten Bekasi,2685,514,19.1,2273,84.7,102697,108400,211097,37144,36.2,39225,36.2,76369,36.2,15193,15453,30646,7568,49.8,7967,51.6,15535,50.7,2019
Kabupaten Bandung Barat,1726,950,55.04,1567,90.79,222417,151055,373472,181148,81.45,120518,79.78,301666,80.77,46268,49179,95447,15085,32.6,16241,33.02,31326,32.82,2019
Kabupaten Pangandaran,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bogor,337,315,93.5,332,98.5,44702,43316,88018,26488,59.3,27028,62.4,53516,60.8,13191,12678,25869,7365,55.8,8459,66.7,15824,61.2,2019
Kota Sukabumi,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bandung,526,457,86.9,414,78.7,82033,87673,169706,47525,57.9,52204,59.5,99729,58.8,17267,19473,36740,6543,37.9,8366,43.0,14909,40.6,2019
Kota Cirebon,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bekasi,821,42,5.1,42,5.1,11388,11620,23008,3063,26.9,3217,27.7,6280,27.3,409,521,930,153,37.4,154,29.6,307,33.0,2019
Kota Depok,605,507,838.0,605,1000.0,28856,27140,55996,28856,1000.0,27140,1000.0,55996,1000.0,12254,11935,24189,12331,1006.0,12039,1009.0,24370,1007.0,2019
Kota Cimahi,149,176,118.1,263,176.5,34832,32970,67802,18744,53.8,18438,55.9,37182,54.8,8074,8105,16179,1377,17.1,1570,19.4,2947,18.2,2019
Kota Tasikmalaya,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Banjar,111,86,77.5,94,84.7,10099,9242,19341,1672,16.6,1629,17.6,3301,17.1,0,0,0,0,0.0,0,0.0,0,0.0,2019
Jawa Barat,30940,15073,48.7,42768,283.70000000000005,1270963,1129640,2532501,782228,61.5,666178,59.0,1524196,60.2,241290,246553,502059,110248,45.7,116610,47.3,237235,47.3,2019
Kabupaten Bogor,1684,1684,100.0,1684,100.0,125595,120192,245787,2508,2.0,2409,2.0,4917,2.0,1592,1485,3077,904,56.8,816,54.9,1720,55.9,2020
Kabupaten Sukabumi,1297,450,34.7,414,31.9,85364,86154,171518,427,0.5,1253,1.5,1680,1.0,594,642,1236,134,22.6,197,30.7,331,26.8,2020
Kabupaten Cianjur,1188,79,6.6,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2020
Kabupaten Bandung,3066,1184,38.6,1255,40.9,136695,127208,263903,25832,18.9,19019,15.0,44851,17.0,9395,8990,18385,2934,31.2,3001,33.4,5935,32.3,2020
Kabupaten Garut,1721,0,0.0,450,26.1,78591,77373,155964,3834,4.9,3968,5.1,7802,5.0,2123,2091,4214,1045,49.2,1154,55.2,2199,52.2,2020
Kabupaten Tasikmalaya,847,286,33.8,689,133.3,3261,3906,7167,27253,835.7,26266,672.5,53519,0.0,7510,7859,15369,1688,22.5,2144,27.3,3832,24.9,2020
Kabupaten Ciamis,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2020
Kabupaten Kuningan,566,67,11.8,0,0.0,37808,34096,71904,3669,9.7,3615,10.6,7284,10.1,518,541,1059,276,53.3,279,51.6,555,52.4,2020
Kabupaten Cirebon,1070,0,0.0,1058,98.9,0,0,111423,0,0.0,0,0.0,35068,31.5,0,0,7500,0,0.0,0,0.0,2936,39.1,2020
Kabupaten Majalengka,714,0,0.0,604,56.4,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2020
Kabupaten Sumedang,597,151,25.3,371,62.1,40482,36749,77231,7782,19.2,133312,362.8,141094,182.7,2576,2700,5276,1311,50.9,1386,51.3,2721,51.6,2020
Kabupaten Indramayu,615,163,26.5,442,71.9,0,0,0,0,0.0,0,0.0,0,0.0,0,0,18505,0,0.0,0,0.0,2748,14.9,2020
Kabupaten Subang,453,174,38.4,172,38.0,8890,10096,18986,2119,23.8,1904,18.9,4023,21.2,514,412,926,174,33.9,249,60.4,423,45.7,2020
Kabupaten Purwakarta,461,288,62.5,421,91.3,45052,42884,87936,21610,48.0,19871,46.3,41481,47.2,6559,6223,12782,4530,69.1,4430,71.2,8960,70.1,2020
Kabupaten Karawang,826,113,13.7,826,100.0,71444,63690,135134,6366,8.9,5709,9.0,12075,8.9,1444,1431,2875,595,41.2,604,42.2,1199,41.7,2020
Kabupaten Bekasi,1424,291,20.4,1341,94.2,105187,108147,213334,17648,16.8,19263,17.8,36911,17.3,9167,8075,17242,3275,35.7,3034,37.6,6309,36.6,2020
Kabupaten Bandung Barat,1047,83,7.9,388,37.1,110277,43293,153570,5262,4.8,90,0.2,5352,3.5,887,31,918,473,53.3,3,9.7,476,51.9,2020
Kabupaten Pangandaran,156,0,0.0,0,0.0,0,0,17831,0,0.0,0,0.0,2121,11.9,0,0,747,0,0.0,0,0.0,440,58.9,2020
Kota Bogor,328,273,83.2,240,73.2,38482,36551,75033,8184,21.3,8258,22.6,16442,21.9,4482,4814,9296,2355,52.5,2681,55.7,5036,54.2,2020
Kota Sukabumi,147,91,61.9,98,66.7,17340,17078,34418,11258,64.9,10702,62.7,21960,63.8,4247,4153,8400,1617,38.1,1616,38.9,3233,38.5,2020
Kota Bandung,507,173,34.1,376,74.2,94457,94409,188866,35567,37.7,36269,38.4,71836,38.0,14241,14378,28619,6498,45.6,7441,51.8,13939,48.7,2020
Kota Cirebon,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2020
Kota Bekasi,810,0,0.0,0,0.0,149791,137052,286843,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2020
Kota Depok,581,171,29.4,431,74.2,100550,93073,193623,39700,39.5,39404,42.3,79104,40.9,10449,10054,20503,2791,26.7,2929,29.1,5720,27.9,2020
Kota Cimahi,146,14,9.6,71,48.6,25367,24550,49917,6873,27.1,7033,28.6,13906,27.9,3073,2729,5802,401,13.0,524,19.2,925,15.9,2020
Kota Tasikmalaya,0,174,0.0,247,0.0,35983,35398,71381,15182,42.2,15548,43.9,30730,43.1,5837,6017,11854,2365,40.5,2515,41.8,4880,41.2,2020
Kota Banjar,111,86,77.48,94,84.68,10099,9242,19341,1672,16.56,1629,17.63,3301,17.07,0,0,0,0,0.0,0,0.0,0,0.0,2020
Jawa Barat,20251,5909,29.2,11578,57.2,1310616,1191899,2631769,241074,18.4,353893,29.7,632156,24.0,85208,82625,194585,33366,39.2,35003,42.4,74517,38.3,2020
Kabupaten Bogor,1699,1699,100.0,1643,96.7,113461,108524,221985,2508,2.0,2409,2.2,4917,2.2,1592,1485,3077,904,56.8,816,54.9,1720,55.9,2021
Kabupaten Sukabumi,1465,314,21.4,5472,373.5,87506,96103,183609,10276,11.7,10029,10.4,20305,11.1,3428,3601,7029,2392,69.8,2838,78.8,5230,74.4,2021
Kabupaten Cianjur,1188,79,6.6,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2021
Kabupaten Bandung,1650,52,3.2,426,25.8,189097,191274,380371,14741,7.8,16479,8.6,31220,8.2,5550,5908,11458,1272,22.9,2136,36.2,3408,29.7,2021
